predict_time,future_time,lstm_class,lstm_predic,lstm_price,time_price,future_price,signal1,signal2,signal3

2020-11-29 18:00:00,2020-11-29 19:00:00,1.0,0,1.0,18105.368299120713,18501,1,1

2020-11-29 20:00:00,2020-11-29 19:00:00,1.0,1,1.0,18096.477092892288,19271,1,1

2020-11-29 21:00:00,2020-11-29 22:00:00,1.0,1,1.0,18098.188807512302,18439,1,0

2020-11-29 22:00:00,2020-11-29 23:00:00,1.0,1,1.0,18101.625807629305,18807,1,1

2020-11-29 23:00:00,2020-11-30 00:00:00,0.0,0,1.0,18062.02793267026,18026,0,1

2020-11-30 00:00:00,2020-11-30 01:00:00,1.0,1,1.0,18209.25167643459,18092,1,1

2020-11-30 01:00:00,2020-11-30 02:00:00,1.0,1,1.0,18263.358536752105,18555,1,1

2020-11-30 02:00:00,2020-11-30 03:00:00,1.0,1,1.0,18173.338062863237,18453,1,1

2020-11-30 03:00:00,2020-11-30 04:00:00,1.0,1,1.0,18209.926522002133,18527,1,1

2020-11-30 04:00:00,2020-11-30 05:00:00,1.0,1,1.0,18408.520032700744,19108,1,1

2020-11-30 10:00:00,2020-11-30 11:00:00,1.0,0,1.0,18551.297721367926,18603,1,1

2020-11-30 11:00:00,2020-11-30 12:00:00,1.0,0,1.0,18621.783252478774,18623,1,1

2020-11-30 12:00:00,2020-11-30 13:00:00,1.0,1,1.0,18513.71928836757,18725,1,1

2020-11-30 13:00:00,2020-11-30 14:00:00,1.0,0,1.0,18488.394125928648,18670,1,1

2020-11-30 14:00:00,2020-11-30 15:00:00,1.0,1,1.0,18530.81434407503,18953,1,1

2020-11-30 15:00:00,2020-11-30 16:00:00,1.0,0,1.0,18614.603670426262,18684,1,1

2020-11-30 16:00:00,2020-11-30 17:00:00,1.0,0,1.0,18806.29213464919,18598,1,1

2020-11-30 17:00:00,2020-11-30 18:00:00,1.0,0,1.0,19125.527847127218,19003,1,1

2020-11-30 18:00:00,2020-11-30 19:00:00,1.0,0,1.0,19456.586921494527,19097,1,1

2020-11-30 19:00:00,2020-11-30 20:00:00,1.0,0,1.0,19340.601947523082,18407,1,1

2020-11-30 20:00:00,2020-11-30 21:00:00,1.0,1,1.0,19182.01758163308,18367,1,0

2020-11-30 21:00:00,2020-11-30 22:00:00,1.0,1,1.0,19388.643103571576,18550,1,1

2020-11-30 22:00:00,2020-11-30 23:00:00,1.0,0,1.0,19201.525911250053,18347,1,1

2020-11-30 23:00:00,2020-12-01 00:00:00,1.0,1,1.0,19212.49374393752,18322,1,1

2020-12-01 00:00:00,2020-12-01 01:00:00,1.0,0,1.0,19388.975735378135,18415,1,1

2020-12-01 01:00:00,2020-12-01 02:00:00,1.0,0,1.0,19368.43525738235,18466,1,1

2020-12-01 02:00:00,2020-12-01 03:00:00,1.0,1,1.0,19466.60166508382,18641,1,1

2020-12-01 03:00:00,2020-12-01 04:00:00,1.0,1,1.0,19654.141507779335,19103,1,1

2020-12-01 04:00:00,2020-12-01 05:00:00,1.0,1,1.0,19571.914877722767,18825,1,1

2020-12-01 05:00:00,2020-12-01 06:00:00,1.0,1,1.0,19600.933882202968,19077,1,1

2020-12-01 06:00:00,2020-12-01 07:00:00,1.0,1,1.0,19668.95060877104,18877,1,1

